Date,Product_ID,Sales_Channel,Unit_Price,Quantity_Sold,Sales_Amount
2024-04-11 00:00:00,20,Partner,96.87,17,1646.79
2024-05-22 00:00:00,2,Partner,42.32,7,296.24
2024-04-15 00:00:00,5,Partner,86.15,1,86.15
2024-06-22 00:00:00,3,Partner,78.44,17,1333.48
2024-04-07 00:00:00,9,Partner,34.45,17,585.65
2024-04-28 00:00:00,20,Online,27.04,11,297.44
2024-05-21 00:00:00,6,Partner,48.53,3,145.59
2024-05-28 00:00:00,18,Partner,79.23,15,1188.45
2024-04-05 00:00:00,6,Online,96.22,11,1058.42
2024-04-05 00:00:00,19,Online,77.54,16,1240.64
2024-04-08 00:00:00,12,Online,86.24,9,776.16
2024-06-03 00:00:00,11,Online,62.29,1,62.29
2024-04-10 00:00:00,2,Online,84.36,16,1349.76
2024-05-08 00:00:00,15,Online,79.52,9,715.68
2024-06-20 00:00:00,12,Partner,40.81,19,775.39
2024-04-08 00:00:00,12,Partner,57.44,12,689.28
2024-04-25 00:00:00,9,In-Store,81.45,19,1547.55
2024-06-12 00:00:00,2,Partner,9.38,9,84.42
2024-06-05 00:00:00,3,Partner,81.77,7,572.39
2024-06-18 00:00:00,12,Online,21.9,14,306.6
2024-05-20 00:00:00,16,Online,53.89,19,1023.91
2024-06-06 00:00:00,1,Partner,81.79,19,1554.01
2024-05-19 00:00:00,3,In-Store,29.11,2,58.22
2024-05-06 00:00:00,20,Online,28.35,9,255.15
2024-06-07 00:00:00,2,Partner,43.26,13,562.38
2024-06-17 00:00:00,9,Partner,89.99,15,1349.85
2024-05-11 00:00:00,19,In-Store,5.04,3,15.12
2024-06-28 00:00:00,15,In-Store,90.63,11,996.93
2024-06-01 00:00:00,18,Online,19.61,14,274.54
2024-04-10 00:00:00,11,In-Store,99.06,8,792.48
2024-04-21 00:00:00,16,Partner,95.71,18,1722.78
2024-05-06 00:00:00,17,Partner,51.99,19,987.81
2024-04-12 00:00:00,5,In-Store,53.71,16,859.36
2024-06-30 00:00:00,12,In-Store,50.75,2,101.5
2024-04-02 00:00:00,11,In-Store,65.37,8,522.96
2024-04-13 00:00:00,15,In-Store,13.62,6,81.72
2024-05-23 00:00:00,3,Online,8.1,12,97.2
2024-05-02 00:00:00,1,In-Store,10.48,15,157.2
2024-04-16 00:00:00,20,Online,47.21,8,377.68
2024-05-02 00:00:00,16,Partner,31.18,4,124.72
2024-05-02 00:00:00,2,In-Store,64.09,15,961.35
2024-04-11 00:00:00,2,Online,99.28,17,1687.76
2024-04-10 00:00:00,3,In-Store,41.7,13,542.1
2024-04-15 00:00:00,8,Partner,59.51,18,1071.18
2024-04-17 00:00:00,15,Partner,44.48,2,88.96
2024-05-10 00:00:00,7,Partner,85.49,13,1111.37
2024-04-18 00:00:00,6,In-Store,90.71,13,1179.23
2024-05-25 00:00:00,9,In-Store,88.35,15,1325.25
2024-06-12 00:00:00,20,Online,97.57,10,975.7
2024-04-25 00:00:00,1,Partner,7.61,3,22.83
2024-05-29 00:00:00,8,In-Store,84.78,19,1610.82
2024-06-17 00:00:00,3,Partner,76.42,3,229.26
2024-06-28 00:00:00,4,Partner,26.73,14,374.22
2024-04-22 00:00:00,15,Online,95.85,8,766.8
2024-04-30 00:00:00,6,Online,19.08,4,76.32
2024-06-23 00:00:00,15,Online,69.56,11,765.16
2024-06-24 00:00:00,3,Online,26.36,11,289.96
2024-05-14 00:00:00,14,Partner,45.98,11,505.78
2024-05-02 00:00:00,20,Online,73.32,2,146.64
2024-05-21 00:00:00,14,Online,58.52,17,994.84
2024-05-16 00:00:00,4,Online,45.61,9,410.49
2024-04-21 00:00:00,12,Online,36,2,72
2024-05-02 00:00:00,17,Partner,84.77,15,1271.55
2024-05-09 00:00:00,7,Online,18.66,16,298.56
2024-04-12 00:00:00,9,Partner,45.86,4,183.44
2024-05-17 00:00:00,3,In-Store,90.86,8,726.88
2024-04-18 00:00:00,13,Partner,85.36,9,768.24
2024-04-21 00:00:00,15,Partner,43.09,5,215.45
2024-04-13 00:00:00,18,Online,77.5,16,1240
2024-04-21 00:00:00,19,In-Store,83.2,13,1081.6
2024-04-08 00:00:00,1,In-Store,89.44,7,626.08
2024-05-16 00:00:00,6,In-Store,56.73,17,964.41
2024-04-07 00:00:00,2,In-Store,24.42,3,73.26
2024-04-23 00:00:00,14,Partner,29.25,5,146.25
2024-06-14 00:00:00,6,In-Store,33.09,19,628.71
2024-06-25 00:00:00,14,Partner,61.41,12,736.92
2024-04-22 00:00:00,4,Partner,8.12,7,56.84
2024-06-28 00:00:00,8,Partner,65.42,9,588.78
2024-04-22 00:00:00,3,In-Store,39.61,6,237.66
2024-04-29 00:00:00,19,Online,33.05,17,561.85
2024-04-13 00:00:00,14,Online,88.55,16,1416.8
2024-06-21 00:00:00,20,In-Store,48.7,3,146.1
2024-04-02 00:00:00,17,Online,14.03,4,56.12
2024-04-29 00:00:00,8,Online,83.54,10,835.4
2024-06-24 00:00:00,14,Partner,9.53,5,47.65
2024-06-18 00:00:00,6,Partner,74.04,10,740.4
2024-05-22 00:00:00,16,In-Store,78.52,12,942.24
2024-04-27 00:00:00,19,In-Store,38.5,10,385
2024-05-20 00:00:00,14,Online,83.35,13,1083.55
2024-06-18 00:00:00,19,Partner,53.99,11,593.89
2024-04-23 00:00:00,3,In-Store,49.01,16,784.16
2024-06-27 00:00:00,10,In-Store,9.31,8,74.48
2024-05-14 00:00:00,19,In-Store,32.55,8,260.4
2024-06-16 00:00:00,9,In-Store,93.45,8,747.6
2024-04-22 00:00:00,20,In-Store,42.22,13,548.86
2024-05-13 00:00:00,13,In-Store,56.94,2,113.88
2024-05-07 00:00:00,7,Online,55.54,12,666.48
2024-05-31 00:00:00,14,Partner,61.09,10,610.9
2024-05-26 00:00:00,9,Partner,10.83,12,129.96
2024-04-03 00:00:00,19,In-Store,39.41,11,433.51
2024-06-02 00:00:00,15,Partner,73.7,15,1105.5
2024-04-19 00:00:00,20,Partner,24.05,16,384.8
2024-04-23 00:00:00,14,Partner,24.34,17,413.78
2024-04-29 00:00:00,6,In-Store,5.96,2,11.92
